0.006 0.024 0.05 0.081 0.118 0.107 0.195 0.235 0.271 0.335 0.39 0.445 0.442 0.446 0.406 0.245 0.091 0.111 0.002 0.081 0.022 0.024 0.127 0.058 0.003 0.096 0.013 0.003 0.037 0.011
0.37 0.013 0.049 0.069 0.101 0.136 0.129 0.208 0.239 0.298 0.358 0.408 0.447 0.443 0.393 0.395 0.337 0.351 0.051 0.227 0.015 0.079 0.115 0.045 0.054 0.031 0 0.084 0.014 0
0.002 0.017 0.045 0.07 0.075 0.143 0.166 0.16 0.236 0.279 0.327 0.378 0.427 0.419 0.443 0.403 0.359 0.31 0.185 0.093 0.112 0.013 0.006 0.083 0.015 0.015 0.082 0 0.042 0.001
0.004 0.015 0.043 0.068 0.107 0.142 0.091 0.137 0.234 0.25 0.316 0.35 0.385 0.433 0.45 0.377 0.235 0.323 0.379 0.077 0.135 0.211 0.042 0.093 0.023 0.033 0.06 0.121 0.004 0.099
0.004 0.015 0.041 0.067 0.093 0.125 0.132 0.156 0.196 0.225 0.283 0.33 0.373 0.425 0.441 0.44 0.327 0.363 0.254 0.188 0.171 0.154 0.081 0.074 0.018 0.109 0.032 0.022 0.01 0.015
0.004 0.017 0.039 0.061 0.08 0.109 0.121 0.187 0.181 0.203 0.264 0.306 0.347 0.374 0.407 0.432 0.343 0.397 0.024 0.145 0.085 0.164 0.044 0.136 0.02 0.069 0.014 0.045 0.033 0.008
0.002 0.014 0.032 0.059 0.084 0.081 0.123 0.125 0.2 0.229 0.225 0.292 0.326 0.355 0.387 0.413 0.387 0.325 0.344 0.066 0.275 0.035 0.119 0.136 0.119 0.011 0.018 0.019 0.03 0.102
0.004 0.007 0.035 0.057 0.08 0.08 0.141 0.173 0.18 0.186 0.195 0.276 0.304 0.334 0.373 0.403 0.362 0.354 0.312 0.282 0.029 0.069 0.111 0.04 0.092 0.039 0.015 0.044 0.094 0.071
0 0.016 0.034 0.052 0.081 0.094 0.122 0.117 0.173 0.163 0.214 0.266 0.29 0.305 0.342 0.404 0.398 0.369 0.271 0.293 0.201 0.078 0.047 0.034 0.144 0.025 0.03 0.037 0.01 0.029
0.001 0.013 0.03 0.051 0.008 0.093 0.055 0.153 0.134 0.204 0.223 0.226 0.271 0.304 0.322 0.363 0.369 0.384 0.378 0.299 0.02 0.216 0.108 0.082 0.066 0.027 0.013 0.083 0.018 0.062
0 0.001 0.029 0.052 0.064 0.071 0.122 0.089 0.125 0.146 0.181 0.239 0.249 0.288 0.313 0.335 0.374 0.344 0.372 0.273 0.209 0.283 0.057 0.207 0.105 0.111 0.099 0.132 0.107 0.089
0.002 0.006 0.029 0.045 0.073 0.094 0.074 0.13 0.138 0.122 0.196 0.192 0.228 0.271 0.3 0.324 0.346 0.357 0.359 0.335 0.167 0.288 0.094 0 0.09 0.04 0.027 0.02 0.054 0.006
0.001 0 0.027 0.043 0.071 0.06 0.099 0.027 0.14 0.11 0.177 0.177 0.209 0.258 0.284 0.308 0.334 0.35 0.361 0.336 0.34 0.207 0.012 0.245 0.184 0.034 0.004 0.002 0.044 0.001
0.001 0.01 0.026 0.042 0.026 0.034 0.077 0.119 0.131 0.112 0.171 0.14 0.204 0.239 0.269 0.291 0.311 0.342 0.34 0.311 0.28 0.171 0.064 0.032 0.09 0.037 0.024 0.136 0.112 0.117
0.22 0.007 0.027 0.022 0.046 0.035 0.059 0.105 0.133 0.047 0.117 0.184 0.178 0.224 0.26 0.281 0.294 0.319 0.36 0.334 0.311 0.326 0.257 0.257 0.236 0.089 0.165 0.028 0.049 0.065
