0.001 0.004 0.011 0.026 0.039 0.058 0.085 0.114 0.158 0.229
0 0.001 0.009 0.026 0.037 0.057 0.082 0.109 0.149 0.211
0 0.005 0.011 0.024 0.035 0.056 0.08 0.105 0.144 0.195
0.001 0.003 0.013 0.024 0.035 0.056 0.077 0.1 0.136 0.186
0.001 0.004 0.012 0.022 0.035 0.05 0.069 0.096 0.132 0.18
0.001 0.004 0.001 0.021 0.032 0.052 0.07 0.096 0.126 0.169
0 0 0.01 0.021 0.032 0.049 0.07 0.091 0.12 0.162
0.001 0.002 0.006 0.021 0.033 0.048 0.066 0.089 0.116 0.156
0 0.003 0.009 0.021 0.032 0.046 0.064 0.088 0.114 0.149
0.001 0.002 0.011 0.02 0.032 0.046 0.06 0.082 0.109 0.14
0 0.004 0.011 0.018 0.03 0.045 0.061 0.082 0.101 0.137
0.001 0.003 0.01 0.008 0.026 0.042 0.061 0.078 0.103 0.122
0.001 0.001 0.009 0.019 0.024 0.041 0.059 0.076 0.101 0.127
0.001 0.003 0.01 0.018 0.028 0.042 0.053 0.076 0.099 0.125
0.001 0.001 0.002 0.018 0.027 0.04 0.055 0.068 0.096 0.117
0.001 0.002 0.01 0.017 0.025 0.037 0.053 0.072 0.092 0.117
0 0.003 0.006 0.017 0.027 0.039 0.054 0.07 0.089 0.111
0 0 0.005 0.017 0.024 0.037 0.052 0.068 0.086 0.105
0.001 0.003 0.008 0.015 0.023 0.037 0.05 0.068 0.085 0.107
0 0.004 0.009 0.016 0.024 0.033 0.05 0.065 0.085 0.107
0 0 0.007 0.015 0.024 0.034 0.049 0.062 0.084 0.102
0 0.002 0.008 0.014 0.023 0.035 0.047 0.063 0.074 0.102
0 0.002 0.008 0.01 0.019 0.032 0.047 0.061 0.079 0.099
0 0.003 0.002 0.011 0.022 0.033 0.046 0.059 0.077 0.087
0 0.001 0.006 0.008 0.023 0.033 0.044 0.058 0.076 0.09
0 0.001 0.006 0.013 0.018 0.032 0.039 0.051 0.073 0.089
0 0.002 0 0.014 0.021 0.031 0.041 0.057 0.073 0.092
0 0.002 0.007 0.013 0.022 0.03 0.041 0.056 0.07 0.087
0 0.003 0.006 0.013 0.021 0.028 0.042 0.055 0.068 0.084
0 0.003 0.004 0.013 0.021 0.03 0.04 0.053 0.057 0.087
0 0.001 0.007 0.012 0.019 0.027 0.037 0.053 0.067 0.085
0 0 0.001 0.013 0.019 0.029 0.039 0.051 0.064 0.083
0 0.002 0.003 0.01 0.017 0.028 0.039 0.05 0.064 0.081
0 0.002 0.007 0.012 0.019 0.023 0.038 0.05 0.064 0.08
0 0.001 0.006 0.011 0.019 0.026 0.037 0.049 0.064 0.079
0 0.002 0.002 0.011 0.018 0.027 0.036 0.049 0.062 0.076
0 0 0.006 0.012 0.017 0.026 0.035 0.046 0.062 0.075
0 0.001 0.005 0.011 0.018 0.026 0.034 0.047 0.06 0.076
0 0.002 0.001 0.01 0.018 0.025 0.033 0.044 0.057 0.067
0 0.002 0.006 0.011 0.016 0.021 0.034 0.044 0.056 0.073
0 0.002 0.006 0.011 0.017 0.024 0.034 0.044 0.054 0.071
0 0 0.006 0.01 0.016 0.024 0.034 0.042 0.057 0.067
0 0.001 0.006 0.01 0.016 0.022 0.034 0.043 0.056 0.066
0 0.002 0.006 0.009 0.015 0.024 0.032 0.042 0.055 0.066
0 0 0.006 0.009 0.016 0.023 0.032 0.038 0.052 0.068
0 0 0.002 0.01 0.016 0.023 0.031 0.037 0.047 0.064
0 0.001 0.004 0.01 0.016 0.023 0.032 0.041 0.053 0.06
0 0 0.004 0.01 0.016 0.023 0.031 0.04 0.049 0.065
0 0.001 0.004 0.01 0.015 0.022 0.03 0.04 0.05 0.062
0 0.002 0.002 0.004 0.015 0.022 0.029 0.04 0.051 0.061
0 0 0.005 0.009 0.015 0.022 0.03 0.039 0.047 0.06
