0.052 0.072 0.096 0.128 0.166 0.216 0.282 0.278 0.221 0.228 0.181 0.086 0.089 0.043 0.013 0.001 0.005 0.01 0.048 0.045 0.026 0.012 0.003 0.018 0.033 0.044
0.05 0.072 0.095 0.123 0.159 0.211 0.28 0.261 0.198 0.199 0.001 0.137 0.052 0.012 0.001 0.013 0.07 0.031 0.053 0.021 0.003 0.006 0.021 0.012 0.004 0.013
0.048 0.067 0.091 0.117 0.15 0.2 0.298 0.332 0.293 0.263 0.076 0.187 0.019 0.023 0.003 0.084 0.01 0.044 0.042 0.083 0.043 0.011 0.012 0.001 0.001 0.006
0.047 0.067 0.086 0.111 0.145 0.19 0.259 0.297 0.277 0.22 0.157 0.18 0.234 0.165 0.043 0.019 0.014 0.016 0.074 0.007 0.041 0.011 0.009 0.012 0.039 0.014
0.047 0.064 0.083 0.107 0.134 0.177 0.243 0.298 0.284 0.294 0.175 0.176 0.173 0.037 0.007 0.083 0.028 0.127 0.007 0.049 0.018 0.018 0.003 0.049 0.013 0.019
0.045 0.06 0.083 0.107 0.131 0.169 0.209 0.315 0.313 0.286 0.057 0.193 0.008 0.146 0.029 0.055 0.069 0.026 0 0.008 0.062 0.003 0.016 0.017 0.022 0.013
0.043 0.056 0.076 0.102 0.125 0.155 0.205 0.29 0.28 0.293 0.208 0.197 0.06 0.179 0.076 0.113 0.005 0.006 0.12 0.102 0.106 0.004 0.006 0.035 0.005 0.015
0.043 0.059 0.076 0.095 0.124 0.157 0.198 0.261 0.258 0.342 0.266 0.089 0.12 0.156 0.021 0.012 0.003 0.031 0.006 0.071 0.028 0.03 0.03 0 0.001 0.005
0.04 0.057 0.076 0.097 0.118 0.149 0.185 0.223 0.298 0.306 0.228 0.204 0.23 0.01 0.013 0.101 0.008 0.042 0.006 0.003 0.031 0.01 0.054 0.001 0.079 0.003
0.041 0.057 0.071 0.093 0.113 0.143 0.18 0.233 0.301 0.311 0.26 0.185 0.058 0.034 0.036 0.086 0.035 0.055 0.018 0.016 0.063 0.023 0.022 0.008 0.006 0.007
0.04 0.056 0.072 0.09 0.111 0.137 0.171 0.215 0.307 0.334 0.28 0.201 0.207 0.033 0.155 0.019 0.01 0.005 0.007 0.053 0.027 0.006 0.002 0.018 0.007 0.004
0.039 0.054 0.07 0.09 0.108 0.13 0.162 0.205 0.274 0.289 0.294 0.253 0.234 0.041 0.008 0.016 0.003 0.002 0.052 0.026 0.024 0.027 0.01 0.021 0.025 0.01
0.038 0.05 0.068 0.086 0.106 0.13 0.157 0.195 0.245 0.31 0.334 0.206 0.169 0.051 0.112 0.105 0.061 0.021 0.079 0.036 0.096 0.001 0.001 0.017 0.137 0.025
0.036 0.049 0.065 0.082 0.104 0.123 0.152 0.187 0.241 0.295 0.275 0.27 0.216 0.021 0.175 0.05 0.053 0.028 0.012 0.014 0.007 0.013 0.057 0.003 0.003 0.008
0.036 0.051 0.063 0.081 0.102 0.115 0.144 0.172 0.226 0.297 0.286 0.145 0.29 0.146 0.069 0.046 0.026 0.065 0.017 0.048 0.004 0.017 0.011 0.008 0.037 0.006
0.036 0.049 0.06 0.079 0.098 0.112 0.136 0.172 0.215 0.251 0.304 0.267 0.24 0.096 0.215 0.042 0.047 0.098 0.013 0.021 0.05 0.093 0.01 0.041 0.005 0.053
0.035 0.047 0.06 0.079 0.096 0.116 0.137 0.165 0.198 0.262 0.311 0.263 0.244 0.241 0.201 0.142 0.101 0.009 0.088 0.038 0.009 0.028 0.015 0.049 0.007 0.026
0.034 0.043 0.058 0.077 0.094 0.103 0.133 0.157 0.194 0.235 0.306 0.271 0.256 0.252 0.007 0.104 0.063 0.003 0.02 0.043 0.135 0.028 0.023 0.016 0.009 0.01
0.032 0.044 0.06 0.073 0.09 0.107 0.125 0.156 0.185 0.236 0.295 0.268 0.252 0.224 0.223 0.024 0.075 0.002 0.002 0.009 0 0.093 0.063 0.003 0.06 0.022
0.03 0.041 0.057 0.073 0.089 0.106 0.112 0.148 0.172 0.213 0.281 0.284 0.212 0.191 0.174 0.149 0.082 0.098 0.01 0.034 0.011 0.044 0.05 0.005 0.05 0.003
0.03 0.044 0.053 0.071 0.085 0.103 0.122 0.143 0.172 0.207 0.241 0.274 0.264 0.228 0.226 0.196 0.023 0.03 0.16 0.084 0.042 0.009 0.071 0.015 0.001 0.102
0.032 0.043 0.057 0.068 0.085 0.103 0.121 0.141 0.162 0.201 0.251 0.295 0.271 0.253 0.122 0.13 0.166 0.007 0.078 0.006 0.05 0 0.051 0.014 0.017 0.042
0.031 0.042 0.055 0.07 0.085 0.092 0.114 0.131 0.161 0.199 0.248 0.303 0.261 0.217 0.247 0.17 0.045 0.009 0.107 0.102 0.006 0.027 0.072 0.036 0.004 0.02
0.03 0.042 0.05 0.066 0.081 0.098 0.108 0.133 0.149 0.182 0.223 0.291 0.267 0.147 0.217 0.23 0.014 0.114 0.009 0.004 0.077 0.006 0.01 0 0.008 0.001
0.03 0.041 0.054 0.061 0.079 0.093 0.111 0.128 0.147 0.173 0.2 0.254 0.306 0.285 0.159 0.166 0.179 0.072 0.022 0.138 0.039 0.012 0.013 0.022 0.029 0.062
0.029 0.04 0.051 0.065 0.08 0.092 0.108 0.121 0.142 0.175 0.207 0.246 0.283 0.269 0.189 0.163 0.158 0.118 0.106 0.104 0.069 0.001 0.049 0.029 0.021 0
0.028 0.04 0.052 0.063 0.077 0.092 0.104 0.117 0.14 0.169 0.198 0.23 0.304 0.257 0.03 0.228 0.2 0.081 0.017 0.015 0.006 0.122 0.025 0.038 0.041 0.001
0.028 0.039 0.051 0.063 0.075 0.088 0.103 0.119 0.139 0.157 0.189 0.243 0.258 0.241 0.25 0.238 0.161 0.093 0.107 0.007 0.039 0.041 0.005 0.048 0.014 0.057
0.028 0.038 0.05 0.062 0.074 0.088 0.097 0.116 0.136 0.151 0.179 0.228 0.248 0.292 0.261 0.242 0.199 0.207 0.006 0.028 0.047 0.021 0.007 0.004 0.043 0.006
0.027 0.037 0.049 0.061 0.071 0.085 0.099 0.113 0.114 0.152 0.173 0.215 0.269 0.295 0.291 0.237 0.013 0.06 0.006 0.035 0.128 0.029 0.033 0.017 0.011 0.003
0.026 0.035 0.048 0.058 0.07 0.083 0.098 0.109 0.125 0.149 0.173 0.198 0.246 0.287 0.279 0.199 0.167 0.147 0.009 0.143 0.01 0.108 0.022 0 0.004 0.001
0.026 0.035 0.047 0.056 0.07 0.083 0.09 0.109 0.124 0.143 0.165 0.196 0.226 0.259 0.224 0.266 0.229 0.139 0.085 0.202 0.127 0.08 0.098 0.053 0.021 0.03
0.026 0.034 0.046 0.057 0.07 0.081 0.091 0.108 0.118 0.14 0.161 0.193 0.219 0.261 0.293 0.235 0.25 0.156 0.071 0.199 0.002 0 0.043 0 0.03 0.035
0.025 0.035 0.044 0.055 0.066 0.081 0.091 0.105 0.119 0.138 0.156 0.185 0.212 0.258 0.254 0.317 0.169 0.161 0.029 0.084 0.063 0.037 0.018 0.011 0.04 0.001
0.025 0.033 0.045 0.056 0.068 0.078 0.091 0.102 0.115 0.125 0.154 0.168 0.209 0.241 0.223 0.234 0.139 0.2 0.053 0.006 0.081 0.001 0.016 0.039 0 0.026
0.024 0.034 0.044 0.054 0.065 0.076 0.087 0.097 0.111 0.126 0.151 0.174 0.193 0.231 0.265 0.215 0.211 0.162 0.114 0.075 0.104 0.005 0.073 0.022 0.017 0
0.024 0.032 0.043 0.054 0.064 0.076 0.085 0.1 0.113 0.126 0.142 0.169 0.194 0.221 0.259 0.284 0.23 0.223 0.177 0.095 0.113 0.016 0.028 0.019 0.008 0.004
0.024 0.033 0.043 0.053 0.059 0.074 0.08 0.095 0.111 0.12 0.137 0.157 0.188 0.204 0.243 0.257 0.218 0.231 0.178 0.023 0.158 0.026 0.01 0.143 0.062 0
0.024 0.032 0.04 0.051 0.062 0.072 0.085 0.096 0.107 0.122 0.134 0.157 0.179 0.206 0.256 0.281 0.267 0.174 0.204 0.022 0.054 0.119 0.005 0.007 0.013 0.006
